tên_bệnh,hội_chứng,triệu_chứng,bài_thuốc,vị_thuốc
Huyễn vựng,Can dương thượng kháng,"Chóng mặt, Đau đầu, Ù tai, Dễ cáu gắt, Mặt đỏ",Thiên ma câu đằng ẩm,"Thiên ma, Câu đằng, Thạch quyết minh, Chi tử, Hoàng cầm, Xuyên ngưu tất, Đỗ trọng, Ích mẫu, Tang ký sinh, Dạ giao đằng, Phục thần"
Huyễn vựng,Khí huyết khuy hư,"Chóng mặt hoa mắt, Mệt mỏi, Cử động thì chóng mặt tăng, Sắc mặt nhợt",Bát trân thang,"Nhân sâm, Bạch truật, Phục linh, Cam thảo, Xuyên khung, Đương quy, Thục địa, Bạch thược"
Huyễn vựng,Đàm trọc trung trở,"Chóng mặt, Nặng đầu, Lợm giọng buồn nôn, Ăn kém, Ngực đầy tức",Bán hạ bạch truật thiên ma thang,"Bán hạ, Bạch truật, Thiên ma, Trần bì, Phục linh, Cam thảo, Sinh khương, Đại táo"
Huyễn vựng,Thận tinh bất túc,"Chóng mặt, Ù tai, Giảm trí nhớ, Lưng gối mỏi yếu",Tả quy hoàn,"Thục địa, Hoài sơn, Sơn thù, Câu kỷ tử, Ngưu tất, Thỏ ty tử, Lộc giác giao, Quy bản giao"
Huyễn vựng,Ứ huyết trở lạc,"Chóng mặt, Đau đầu cố định, Nhớ kém, Môi thâm",Thông khiếu hoạt huyết thang,"Xích thược, Xuyên khung, Đào nhân, Hồng hoa, Xạ hương, Lão thông, Sinh khương, Đại táo"
Vị quản thống,Hàn tà khách vị,"Đau dạ dày đột ngột, Gặp lạnh đau tăng, Gặp ấm giảm đau",Hương tô tán hợp Lương phụ hoàn,"Hương phụ, Tử tô, Cam thảo, Trần bì, Cao lương khương"
Vị quản thống,Ẩm thực đình trệ,"Đau chướng bụng, Ợ chua, Nôn mửa thức ăn chưa tiêu, Phân hôi",Bảo hòa hoàn,"Sơn tra, Thần khúc, La bạc tử, Bán hạ, Trần bì, Phục linh, Liên kiều"
Vị quản thống,Can khí uất kết,"Đau trướng vùng thượng vị, Đau lan ra mạn sườn, Hay thở dài, Ợ hơi",Sài hồ sơ can tán,"Sài hồ, Trần bì, Chỉ xác, Bạch thược, Chích cam thảo, Hương phụ, Xuyên khung"
Vị quản thống,Tỳ vị hư hàn,"Đau râm ran vùng thượng vị, Thích chườm ấm, Mệt mỏi, Phân nát",Hoàng kỳ kiến trung thang,"Hoàng kỳ, Quế chi, Bạch thược, Chích cam thảo, Sinh khương, Đại táo, Kẹo mạch nha"
Vị quản thống,Vị âm hư,"Đau bỏng rát vùng dạ dày, Khát nước, Miệng khô, Lưỡi đỏ ít rêu",Nhất quán tiễn,"Sa sâm, Mạch môn, Đương quy, Sinh địa, Câu kỷ tử, Xuyên luyện tử"
Thất miên,Can uất hóa hỏa,"Mất ngủ, Hay cáu gắt, Đau mạn sườn, Miệng đắng, Đỏ mắt",Long đởm tả can thang,"Long đởm thảo, Hoàng cầm, Chi tử, Trạch tả, Mộc thông, Xa tiền tử, Đương quy, Sinh địa, Sài hồ, Cam thảo"
Thất miên,Đàm nhiệt nội nhiễu,"Mất ngủ, Chóng mặt, Ngực tức, Khạc đờm vàng, Tâm phiền",Ôn đởm thang,"Bán hạ, Trúc nhự, Chỉ thực, Quất bì, Phục linh, Cam thảo, Sinh khương, Đại táo"
Thất miên,Tâm tỳ lưỡng hư,"Mất ngủ, Hay quên, Tim đập hồi hộp, Mệt mỏi, Sắc mặt nhợt nhạt",Quy tỳ thang,"Nhân sâm, Bạch truật, Phục thần, Hoàng kỳ, Long nhãn, Toan táo nhân, Mộc hương, Chích cam thảo, Đương quy, Viễn chí"
Thất miên,Âm hư hỏa vượng,"Khó vào giấc ngủ, Lòng bàn tay bàn chân nóng, Đổ mồ hôi trộm",Hoàng liên a giao thang,"Hoàng liên, Hoàng cầm, Bạch thược, A giao, Kê tử hoàng"
Thất miên,Tâm đởm khí hư,"Mất ngủ, Hay giật mình, Nằm mơ, Nhát gan, Hồi hộp",An thần định chí hoàn,"Nhân sâm, Phục linh, Phục thần, Viễn chí, Thạch xương bồ, Long xỉ"
Tiết tả,Hàn thấp nội thịnh,"Tiêu chảy phân lỏng trong, Sôi bụng, Không khát, Sợ lạnh",Hoắc hương chính khí tán,"Hoắc hương, Đại phúc bì, Bạch chỉ, Tử tô, Phục linh, Bán hạ, Bạch truật, Trần bì, Hậu phác, Cát cánh, Cam thảo"
Tiết tả,Thấp nhiệt uẩn kết,"Tiêu chảy phân vàng nát có mùi khắm, Đau quặn bụng, Rát hậu môn",Cát căn cầm liên thang,"Cát căn, Hoàng cầm, Hoàng liên, Cam thảo"
Tiết tả,Thực trệ tràng vị,"Bụng đau quặn, Tiêu chảy xong giảm đau, Phân hôi thối, Ợ chua",Bảo hòa hoàn,"Sơn tra, Thần khúc, La bạc tử, Phục linh, Bán hạ, Trần bì, Liên kiều"
Tiết tả,Tỳ vị hư nhược,"Tiêu chảy sau khi ăn đồ sống lạnh, Phân lỏng, Mệt mỏi",Sâm linh bạch truật tán,"Nhân sâm, Bạch truật, Phục linh, Sơn dược, Cam thảo, Biển đậu, Liên nhục, Cát cánh, Ý dĩ, Sa nhân"
Tiết tả,Thận dương hư,"Tiêu chảy lúc mờ sáng, Sôi bụng, Lạnh tay chân",Tứ thần hoàn,"Bổ cốt chỉ, Nhục đậu khấu, Ngô thù du, Ngũ vị tử, Sinh khương, Đại táo"
Đầu thống,Phong hàn,"Đau đầu lan ra gáy, Sợ gió, Sợ lạnh",Xuyên khung trà điều tán,"Xuyên khung, Kinh giới, Bạc hà, Khương hoạt, Bạch chỉ, Tế tân, Phòng phong, Cam thảo"
Đầu thống,Phong nhiệt,"Đau đầu căng tức, Sốt, Sợ gió, Khát nước, Mắt đỏ",Khung chỉ thạch cao thang,"Xuyên khung, Bạch chỉ, Thạch cao, Cúc hoa, Khương hoạt, Cảo bản"
Đầu thống,Phong thấp,"Đau đầu như bó lại, Nặng mình, Kém ăn, Phân nát",Khương hoạt thắng thấp thang,"Khương hoạt, Độc hoạt, Cảo bản, Phòng phong, Cam thảo, Xuyên khung, Mạn kinh tử"
Đầu thống,Huyết hư,"Đau đầu âm ỉ, Chóng mặt, Mệt mỏi, Hồi hộp",Tứ vật thang gia giảm,"Đương quy, Thục địa, Bạch thược, Xuyên khung, Mạn kinh tử, Cúc hoa"
Đầu thống,Ứ huyết,"Đau đầu như dùi đâm, Đau ở một vị trí cố định, Kéo dài",Thông khiếu hoạt huyết thang,"Xích thược, Xuyên khung, Đào nhân, Hồng hoa, Xạ hương, Lão thông, Sinh khương, Đại táo"
Tâm quý,Tâm khí bất túc,"Hồi hộp, Hụt hơi, Tự ra mồ hôi, Mệt mỏi",Dưỡng tâm thang,"Hoàng kỳ, Phục linh, Phục thần, Đương quy, Xuyên khung, Bán hạ, Bá tử nhân, Toan táo nhân, Viễn chí, Nhục quế, Ngũ vị tử, Nhân sâm, Cam thảo"
Tâm quý,Tâm huyết bất túc,"Hồi hộp, Chóng mặt, Sắc mặt nhợt, Mất ngủ",Quy tỳ thang,"Nhân sâm, Bạch truật, Phục thần, Hoàng kỳ, Long nhãn, Toan táo nhân, Mộc hương, Chích cam thảo, Đương quy, Viễn chí"
Tâm quý,Âm hư nội nhiệt,"Hồi hộp, Bứt rứt, Khó ngủ, Mồ hôi trộm, Miệng khô",Thiên vương bổ tâm đan,"Sinh địa, Huyền sâm, Thiên môn, Mạch môn, Đan sâm, Viễn chí, Cát cánh, Phục linh, Toan táo nhân, Bá tử nhân, Đương quy, Ngũ vị tử"
Tâm quý,Đàm hỏa nhiễu tâm,"Hồi hộp, Ngực tức, Phiền táo, Mất ngủ, Khạc đờm vàng",Hoàng liên ôn đởm thang,"Hoàng liên, Bán hạ, Trúc nhự, Chỉ thực, Trần bì, Phục linh, Cam thảo, Sinh khương, Đại táo"
Tâm quý,Tâm dương bất chấn,"Hồi hộp, Ngực tức, Sợ lạnh, Lạnh tay chân, Nước tiểu trong",Quế chi cam thảo long cốt mẫu lệ thang,"Quế chi, Cam thảo, Long cốt, Mẫu lệ"
Thủy thũng,Phong thủy tướng bác,"Sưng húp mặt mắt rồi lan toàn thân, Sợ gió, Tiểu ít",Việt tỳ gia truật thang,"Ma hoàng, Thạch cao, Sinh khương, Cam thảo, Đại táo, Bạch truật"
Thủy thũng,Thấp độc tẩm dâm,"Sưng phù rỉ nước, Vết loét ngoài da, Nặng nề, Nước tiểu vàng",Ma hoàng liên kiều xích tiểu đậu thang,"Ma hoàng, Liên kiều, Xích tiểu đậu, Bạc hà, Hạnh nhân, Cam thảo, Tang bạch bì, Sinh khương"
Thủy thũng,Thủy thấp tẩm trướng,"Phù nề nửa người dưới, Bụng trướng, Ăn kém, Tiểu ít",Ngũ bì ẩm hợp Vị linh thang,"Tang bạch bì, Trần bì, Sinh khương bì, Đại phúc bì, Phục linh bì, Thương truật, Hậu phác, Trạch tả, Trư linh, Bạch truật, Quế chi"
Thủy thũng,Tỳ dương hư,"Phù nề ấn lõm khó đầy lên, Mặt nhợt, Sợ lạnh, Lạnh tay chân",Thực tỳ ẩm,"Phụ tử, Can khương, Phục linh, Bạch truật, Mộc qua, Hậu phác, Đại phúc bì, Thảo quả, Mộc hương, Cam thảo"
Thủy thũng,Thận dương hư,"Phù nhiều ở chân, Tiểu ít, Lưng đau gối mỏi, Sợ lạnh",Chân vũ thang,"Phụ tử, Bạch linh, Bạch thược, Sinh khương, Bạch truật"
Tiêu khát,Phế nhiệt tân thương,"Khát nhiều, Uống nhiều nước, Khô miệng, Đái nhiều, Lưỡi đỏ",Tiêu khát phương,"Thiên hoa phấn, Sinh địa, Ngẫu trấp, Sinh khương trấp, Mật ong"
Tiêu khát,Vị nhiệt xí thịnh,"Ăn nhiều chóng đói, Gầy sút, Táo bón, Rêu lưỡi vàng sậm",Ngọc nữ tiễn,"Thạch cao, Tri mẫu, Mạch môn, Sinh địa, Ngưu tất"
Tiêu khát,Thận âm khuy hư,"Tiểu nhiều lần, Nước tiểu đục như mỡ, Lưng gối mỏi, Họng khô",Lục vị địa hoàng hoàn,"Thục địa, Hoài sơn, Sơn thù, Đan bì, Phục linh, Trạch tả"
Tiêu khát,Khí âm lưỡng hư,"Uống nhiều, Mệt mỏi, Đổ mồ hôi, Khô miệng, Hụt hơi",Sinh mạch tán hợp Lục vị địa hoàng hoàn,"Nhân sâm, Mạch môn, Ngũ vị tử, Thục địa, Hoài sơn, Sơn thù, Đan bì, Phục linh, Trạch tả"
Tiêu khát,Âm dương lưỡng hư,"Tiểu nhiều nước tiểu đục, Sợ lạnh, Tay chân lạnh, Liệt dương",Kim quỹ thận khí hoàn,"Can địa hoàng, Sơn dược, Sơn thù, Trạch tả, Phục linh, Mẫu đơn bì, Quế chi, Phụ tử"
Lâm chứng,Nhiệt lâm,"Tiểu buốt, Rắt, Nước tiểu đỏ, Bụng dưới căng tức",Bát chính tán,"Mộc thông, Cù mạch, Biển súc, Xa tiền tử, Hoạt thạch, Cam thảo, Đại hoàng, Chi tử"
Lâm chứng,Thạch lâm,"Tiểu ra sỏi, Đau buốt đường tiểu lan tới rốn hoặc thắt lưng",Thạch vĩ tán,"Thạch vĩ, Cù mạch, Hoạt thạch, Xa tiền tử, Mộc thông, Kim tiền thảo, Hải kim sa"
Lâm chứng,Huyết lâm,"Tiểu ra máu, Đau buốt, Bứt rứt, Miệng đắng",Tiểu kế ẩm tử,"Tiểu kế, Sinh địa, Ngẫu tiết, Bồ hoàng, Mộc thông, Hoạt thạch, Cam thảo, Đương quy, Chi tử, Trúc diệp"
Lâm chứng,Khí lâm,"Tiểu đau tức, Tiểu không hết, Ngực sườn đầy trướng",Trầm hương tán,"Trầm hương, Thạch vĩ, Hoạt thạch, Vương bất lưu hành, Đương quy, Cam thảo, Bạch thược, Trần bì"
Lâm chứng,Lao lâm,"Tiểu không đau buốt nhiều, Chờn vờn kéo dài, Mệt mỏi, Lưng gối mỏi",Vô bỉ sơn dược hoàn,"Sơn dược, Ngưu tất, Thục địa, Trạch tả, Sơn thù, Phục linh, Đỗ trọng, Thỏ ty tử, Ba kích, Nhục thung dung, Ngũ vị tử, Xích thạch chi"
Yêu thống,Hàn thấp,"Đau lưng có cảm giác lạnh nề, Gặp lạnh đau tăng",Cam khương linh truật thang,"Can khương, Cam thảo, Bạch linh, Bạch truật"
Yêu thống,Thấp nhiệt,"Đau lưng cảm giác nóng rát, Cự án, Sợ nóng, Nước tiểu vàng",Tứ diệu hoàn,"Hoàng bá, Thương truật, Ngưu tất, Ý dĩ nhân"
Yêu thống,Ứ huyết,"Đau lưng cố định như dùi đâm, Cự án, Đau về đêm",Thân thống trục ứ thang,"Tần giao, Xuyên khung, Đào nhân, Hồng hoa, Cam thảo, Khương hoạt, Một dược, Đương quy, Linh chi, Hương phụ, Ngưu tất, Địa long"
Yêu thống,Thận dương hư,"Đau lưng mỏi gối âm ỉ, Sợ lạnh, Tay chân lạnh, Sắc mặt trắng",Hữu quy hoàn,"Thục địa, Sơn dược, Sơn thù, Câu kỷ tử, Lộc giác giao, Thỏ ty tử, Đỗ trọng, Đương quy, Nhục quế, Phụ tử"
Yêu thống,Thận âm hư,"Đau lưng mỏi gối, Bứt rứt, Đổ mồ hôi trộm, Lòng bàn tay nóng",Tả quy hoàn,"Thục địa, Hoài sơn, Sơn thù, Câu kỷ tử, Ngưu tất, Thỏ ty tử, Lộc giác giao, Quy bản giao"
Hoàng đản,Dương hoàng - Nhiệt trọng,"Vàng da tươi như màu quýt, Sốt, Bứt rứt, Miệng khát, Tiểu đỏ",Nhân trần cao thang,"Nhân trần, Chi tử, Đại hoàng"
Hoàng đản,Dương hoàng - Thấp trọng,"Vàng da không tươi, Ngực tức, Buồn nôn, Ăn kém, Mệt mỏi",Nhân trần ngũ linh tán,"Nhân trần, Trư linh, Phục linh, Bạch truật, Trạch tả, Quế chi"
Hoàng đản,Âm hoàng,"Vàng da xỉn tối như màu khói, Lạnh tay chân, Sợ lạnh, Phân nát",Nhân trần thuật phụ thang,"Nhân trần, Bạch truật, Phụ tử, Can khương, Cam thảo"
Tiện bí,Nhiệt bí,"Phân khô cứng, Bụng đầy đau, Khát nước, Miệng hôi, Mặt đỏ",Ma tử nhân hoàn,"Ma tử nhân, Thược dược, Chỉ thực, Đại hoàng, Hậu phác, Hạnh nhân"
Tiện bí,Khí bí,"Táo bón, Mót rặn nhưng không đi được, Hay ợ hơi, Ngực sườn đầy tức",Lục ma thang,"Mộc hương, Ô dược, Trầm hương, Đại hoàng, Tân lang, Chỉ thực"
Tiện bí,Khí hư bí,"Táo bón, Cố rặn thì vã mồ hôi, Xong mệt mỏi, Hụt hơi",Hoàng kỳ thang,"Hoàng kỳ, Ma nhân, Trần bì, Bạch mật"
Tiện bí,Huyết hư bí,"Táo bón, Hoa mắt, Chóng mặt, Hồi hộp, Môi móng nhợt",Nhuận tràng hoàn,"Đương quy, Sinh địa, Ma nhân, Đào nhân, Chỉ xác"
Tiện bí,Dương hư bí,"Phân khô cứng hoặc không cứng khó đi, Sợ lạnh, Chân tay lạnh, Đau lưng",Tế xuyên tiễn,"Nhục thung dung, Đương quy, Ngưu tất, Trạch tả, Chỉ xác, Thăng ma"
Háo suyễn,Phong hàn,"Khò khè, Ho đờm trắng loãng, Sợ lạnh, Không mồ hôi",Xạ can ma hoàng thang,"Xạ can, Ma hoàng, Sinh khương, Tế tân, Tử uyển, Khoản đông hoa, Đại táo, Bán hạ, Ngũ vị tử"
Háo suyễn,Phong nhiệt,"Khò khè, Ho đờm vàng dính, Khát nước, Sốt",Định suyễn thang,"Bạch quả, Ma hoàng, Tô tử, Cam thảo, Khoản đông hoa, Hạnh nhân, Tang bạch bì, Hoàng cầm, Bán hạ"
Háo suyễn,Phế khí hư,"Suyễn do gắng sức, Hụt hơi, Giọng nói nhỏ, Tự ra mồ hôi",Bổ phế thang,"Nhân sâm, Hoàng kỳ, Thục địa, Ngũ vị tử, Tử uyển, Tang bạch bì"
Háo suyễn,Thận khí hư,"Suyễn kéo dài, Hít vào khó hơn thở ra, Vận động thì khó thở mạnh",Kim quỹ thận khí hoàn,"Can địa hoàng, Sơn dược, Sơn thù, Trạch tả, Phục linh, Mẫu đơn bì, Quế chi, Phụ tử"
Háo suyễn,Tỳ khí hư,"Suyễn nhiều đờm, Khạc đờm trắng loãng, Mệt mỏi, Kém ăn",Lục quân tử thang,"Nhân sâm, Bạch truật, Phục linh, Cam thảo, Bán hạ, Trần bì"
Trúng phong,Kinh lạc - Phong đàm,"Bán thân bất toại, Tê dại tay chân, Nói ngọng, Chảy nước dãi",Bán hạ bạch truật thiên ma thang,"Bán hạ, Bạch truật, Thiên ma, Trần bì, Phục linh, Cam thảo, Sinh khương, Đại táo"
Trúng phong,Kinh lạc - Khí hư huyết ứ,"Bán thân bất toại, Sắc mặt nhợt, Mệt mỏi, Miệng méo",Bổ dương hoàn ngũ thang,"Hoàng kỳ, Đương quy vĩ, Xích thược, Địa long, Xuyên khung, Đào nhân, Hồng hoa"
Trúng phong,Tạng phủ - Bế chứng,"Bất tỉnh, Răng cắn chặt, Hai tay nắm chặt, Sắc mặt đỏ",An ngưu hoàng hoàn,"Ngưu hoàng, Uất kim, Tê giác, Hoàng cầm, Hoàng liên, Hùng hoàng, Sơn chi, Chu sa, Băng phiến, Xạ hương, Trân châu"
Trúng phong,Tạng phủ - Thoát chứng,"Bất tỉnh, Mắt nhắm, Miệng há, Mồ hôi dầm dề, Lạnh tay chân",Sâm phụ thang,"Nhân sâm, Phụ tử"
Trúng phong,Can thận âm hư,"Bán thân bất toại, Đau nhức tay chân, Ù tai, Đau lưng mỏi gối",Trấn can tức phong thang,"Ngưu tất, Đại giả thạch, Long cốt, Mẫu lệ, Quy bản, Bạch thược, Huyền sâm, Thiên môn, Xuyên luyện tử, Nhân trần, Cam thảo, Mạch nha"
Hung tý,Tâm huyết ứ trở,"Đau thắt ngực như dùi đâm, Cố định, Môi lưỡi tím thâm",Huyết phủ trục ứ thang,"Đào nhân, Hồng hoa, Đương quy, Sinh địa, Xuyên khung, Xích thược, Ngưu tất, Cát cánh, Sài hồ, Chỉ xác, Cam thảo"
Hung tý,Khí trệ tâm hung,"Ngực đau trướng, Thở dài, Hay tức giận",Sài hồ sơ can tán,"Sài hồ, Trần bì, Chỉ xác, Bạch thược, Chích cam thảo, Hương phụ, Xuyên khung"
Hung tý,Đàm trọc bế trở,"Ngực đau tức nề, Béo phì, Cơ thể nặng nề, Lợm giọng buồn nôn",Quát lâu giới bạch bán hạ thang,"Quát lâu, Giới bạch, Bán hạ, Rượu trắng"
Hung tý,Hàn ngưng tâm mạch,"Đau ngực dữ dội dội ra sau lưng, Sợ lạnh, Gặp lạnh đau tăng",Quất chỉ khương thang,"Quất bì, Chỉ thực, Sinh khương"
Hung tý,Tâm khí dương suy,"Ngực đau âm ỉ, Hồi hộp, Mệt mỏi, Đổ mồ hôi lạnh, Sợ lạnh",Quế chi cam thảo long cốt mẫu lệ thang,"Quế chi, Cam thảo, Long cốt, Mẫu lệ"
Khái huyết (Ho ra máu),Táo nhiệt thương phế,"Ho có máu tươi, Khô miệng họng, Đau họng",Tang hạnh thang,"Tang diệp, Hạnh nhân, Sa sâm, Tượng bối, Đạm đậu xị, Sơn chi, Lê bì"
Khái huyết,Can hỏa phạm phế,"Ho ra máu dính đờm, Cáu gắt, Đau mạn sườn, Miệng đắng",Tả bạch tán hợp Thanh đại phán,"Tang bạch bì, Địa cốt bì, Cam thảo, Ngạnh mễ, Thanh đại, Cáp phấn"
Nục huyết (Chảy máu cam),Vị nhiệt,"Chảy máu cam nhiều, Đỏ tươi, Hôi miệng, Khát nước",Ngọc nữ tiễn,"Thạch cao, Tri mẫu, Mạch môn, Sinh địa, Ngưu tất"
Tiện huyết (Đại tiện ra máu),Tỳ vị hư hàn,"Đại tiện ra máu đen, Phân nát, Đau bụng âm ỉ, Mệt mỏi",Hoàng thổ thang,"Tráo tâm hoàng thổ, Cam thảo, Can địa hoàng, Bạch truật, Phụ tử, A giao, Hoàng cầm"
Niệu huyết (Tiểu ra máu),Tâm hỏa,"Tiểu ra máu, Nóng rát đường tiểu, Tâm phiền",Tiểu kế ẩm tử,"Tiểu kế, Sinh địa, Ngẫu tiết, Bồ hoàng, Mộc thông, Hoạt thạch, Cam thảo, Đương quy, Chi tử, Trúc diệp"
Bế kinh,Huyết khô,"Mất kinh nguyệt, Da nhợt nhạt, Chóng mặt, Hồi hộp",Bát trân thang,"Nhân sâm, Bạch truật, Phục linh, Cam thảo, Xuyên khung, Đương quy, Thục địa, Bạch thược"
Bế kinh,Khí trệ huyết ứ,"Mất kinh, Đau tức bụng dưới, Cáu gắt, Đau ngực sườn",Huyết phủ trục ứ thang,"Đào nhân, Hồng hoa, Đương quy, Sinh địa, Xuyên khung, Xích thược, Ngưu tất, Cát cánh, Sài hồ, Chỉ xác, Cam thảo"
Băng lậu,Huyết nhiệt,"Máu kinh ra nhiều, Đỏ tươi, Bứt rứt, Khát nước",Thanh kinh tán,"Đan bì, Địa cốt bì, Bạch thược, Đại thục địa, Thanh hao, Hoàng bá, Phục linh"
Thống kinh (Đau bụng kinh),Hàn thấp,"Đau bụng dưới dữ dội lúc hành kinh, Lạnh tay chân, Chườm nóng giảm",Thiếu phúc trục ứ thang,"Tiểu hồi hương, Can khương, Diên hồ sách, Một dược, Đương quy, Xuyên khung, Quan quế, Xích thược, Bồ hoàng, Ngũ linh chi"
Đới hạ (Huyết trắng),Thấp nhiệt,"Huyết trắng nhiều, Vàng đục, Ngứa rát, Có mùi hôi",Dịch hoàng thang,"Sơn dược, Khiếm thực, Hoàng bá, Xa tiền tử, Bạch quả"
Nhũ ung,Can khí uất trệ,"Sưng vú, Đau tức, Khó chịu, Có hòn cục, Sốt nhẹ",Qua lâu ngưu bàng thang,"Qua lâu, Ngưu bàng tử, Thiên hoa phấn, Hoàng cầm, Trần bì, Sài hồ, Thanh bì, Liên kiều, Sơn chi, Kim ngân hoa, Cam thảo"
Nhũ ung,Nhiệt độc xí thịnh,"Vú sưng to tấy đỏ, Nóng ran, Đau nhức dữ dội, Sốt cao, Khát",Thấu nùng tán,"Xuyên sơn giáp, Tạo giác thích, Đương quy, Xuyên khung, Hoàng kỳ"
Cam tích,Tỳ vị hư nhược,"Trẻ em gầy còm, Bụng ỏng, Kém ăn, Phân sống, Da vàng",Sâm linh bạch truật tán,"Nhân sâm, Bạch truật, Phục linh, Sơn dược, Cam thảo, Biển đậu, Liên nhục, Cát cánh, Ý dĩ, Sa nhân"
Cam tích,Trùng tích,"Trẻ gầy yếu, Bụng to, Đau bụng quanh rốn, Hay cắn móng tay, Ngứa hậu môn",Sử quân tử hoàn,"Sử quân tử, Binh lang, Nam tinh, Khổ luyện căn bì"
Tự hãn (Mồ hôi tự ra),Phế vệ bất cố,"Mồ hôi tự ra nhiều, Vận động thì ra nhiều hơn, Sợ gió, Dễ cảm mạo",Ngọc bình phong tán,"Hoàng kỳ, Bạch truật, Phòng phong"
Đạo hãn (Mồ hôi trộm),Âm hư hỏa vượng,"Đổ mồ hôi ban đêm, Lòng bàn tay chân nóng, Bứt rứt, Má đỏ",Đương quy lục hoàng thang,"Đương quy, Sinh địa, Thục địa, Hoàng cầm, Hoàng bá, Hoàng liên, Hoàng kỳ"
Đạo hãn,Tâm huyết bất túc,"Mồ hôi trộm, Hồi hộp, Mất ngủ, Mệt mỏi, Sắc mặt nhợt",Quy tỳ thang,"Nhân sâm, Bạch truật, Phục thần, Hoàng kỳ, Long nhãn, Toan táo nhân, Mộc hương, Chích cam thảo, Đương quy, Viễn chí"
Tý chứng,Hành tý (Phong tý),"Đau di chuyển các khớp, Sợ gió, Phát sốt, Rêu lưỡi trắng mỏng",Phòng phong thang,"Phòng phong, Khương hoạt, Độc hoạt, Tần giao, Đương quy, Xích thược, Cát căn, Ma hoàng, Cam thảo"
Tý chứng,Thống tý (Hàn tý),"Đau khớp dữ dội cố định, Gặp lạnh đau tăng, Chườm ấm giảm đau",Ô đầu thang,"Chế ô đầu, Ma hoàng, Hoàng kỳ, Thược dược, Cam thảo"
Tý chứng,Tr착 tý (Thấp tý),"Khớp đau nề nặng nề, Tê bì, Vận động khó khăn, Thời tiết ẩm đau tăng",Ý dĩ nhân thang,"Ý dĩ nhân, Thương truật, Khương hoạt, Độc hoạt, Phòng phong, Đương quy, Xuyên khung, Quế chi, Cam thảo"
Tý chứng,Nhiệt tý,"Khớp sưng đỏ nóng đau dữ dội, Sợ nóng, Sốt, Khát nước, Tiểu vàng",Bạch hổ gia quế chi thang,"Thạch cao, Tri mẫu, Quế chi, Cam thảo, Ngạnh mễ"
Tý chứng,Đàm ứ tý (Lâu ngày),"Khớp biến dạng, Sưng to cứng khớp, Đau dữ dội kéo dài",Đào hồng tứ vật thang hợp Kiên tý thang,"Đào nhân, Hồng hoa, Đương quy, Thục địa, Bạch thược, Xuyên khung, Khương hoạt, Độc hoạt, Tần giao, Phòng phong"
