tên_bệnh,hội_chứng,triệu_chứng,bài_thuốc,vị_thuốc
Alzheimer,Tâm Tỳ Hư,"Lẫn lộn không phân biệt được, buồn sầu hay khóc, trầm tư, nói khó, đi đứng chậm, tinh thần mệt mỏi, tự ra mồ hôi, không có sức, hồi hộp sợ hãi, hơi thở ngắn, biếng ăn, lưỡi nhạt, rêu mỏng, mạch Tế Nhược",Dưỡng Tâm Thang,"Nhân sâm, Mạch môn, Táo nhân, Đương qui, Thục địa, Sinh địa, Phục linh, Bá tử nhân, Ngũ vị, Cam thảo"
Alzheimer,Can Dương Thượng Cang,"Nhức đầu, chóng mặt, mặt đỏ, mắt đỏ, bứt rứt, ngủ không ngon giấc, ngủ hay mơ, lưỡi cứng khó nói, tê tay chân, khó cử động miệng và mắt, liệt nửa người, lưỡi đỏ, rêu trắng hoặc hơi vàng nhờn, mạch Tế Sác",Thiên Ma Câu Đằng Ẩm gia vị,"Tang kí sinh, Toan táo nhân, Xương bồ, Bạch thược, Câu Kỉ tử, Thiên ma, Câu đằng, Đỗ trọng, Ngưu tất, Dạ giao đằng, Hoàng cầm, Ích mẫu, Thạch quyết minh, Chi tử, Phục linh"
Alzheimer,Tâm Hoả Vượng,"Đau đầu, bứt rứt, mặt đỏ, môi đỏ, khó ngủ, ngủ hay mơ, nói năng lẫn lộn, nói cười huyên thuyên, lo âu, không phân biệt thân quen, nước tiểu vàng, táo bón, lưỡi đỏ (đầu lưỡi đỏ), rêu hơi vàng, mạch Sác",Tả Tâm Thang hợp Đạo Xích Tán,"Sinh địa, Huyền sâm, Từ thạch, Long cốt, Hoàng cầm, Chi tử, Đan bì, Uất kim, Đại hoàng, Mộc thông, Đạm trúc diệp, Cam thảo tiết, Hoàng liên"
Alzheimer,Đờm mê tâm Khiếu,"Nặng đầu, da mặt vàng bủng, phù thủng, mệt mỏi, ngủ mê mệt, thở khò khè, nói năng lẫn lộn, không phân biệt tốt xấu, vui buồn lẫn lộn, không chú ý đến người khác, khạc nhổ đờm, bụng đầy trướng, nặng hơn mất cảm giác không tự làm việc cá nhân, lưỡi nhạt nhờn, mạch Hoạt Nhu",Tẩy Tâm Thang,"Nhân sâm, Phục thần, Táo nhân, Bán hạ, Xương bồ, Trần bì, Kỉ tử, Cam thảo, Phụ tử"
Alzheimer,Chứng não hải bất túc,"Đau đầu, hoa mắt chóng mặt, tai ù, hay quên, người uỷ mị ít nói, nặng thần chí ngu si, nói cười thất thường, ngôn ngữ mất kiểm soát, chất lưỡi đạm đỏ, hình thái lưỡi to, rêu mỏng trắng, mạch trầm huyền",Giác lộc nhị tiên cao hợp Đại định phong châu gia giảm,"Giác bản, Miết giáp, Sinh mẫu lệ, Câu đằng, Kê tử hoàng, A giao, Câu kỳ tử, Lộc nhung, Thục địa, Sinh địa, Bạch thược, Mạch đông, Ma nhân, Nhân sâm"
Alzheimer,Chứng tỳ thận lưỡng hư,"Trí tuệ giảm sút, khả năng ghi nhớ tính toán định hướng phán đoán đều giảm, tinh thần đờ đẫn, không diễn tả được ngôn từ, chóng mặt, tai ù, bụng đau thích xoa, cơ nhục mềm nhão, ăn ít, tiết tả, lười tiếp xúc, thích nằm, lưng gối đau mỏi, lưỡi gầy sắc đạm, rêu mỏng trắng, mạch trầm tế nhược",Hoàn thiếu đan gia giảm,"Thục địa, Câu kỳ tử, Đỗ trọng, Sơn thù du, Nhục thung dung, Tiểu hồi hương, Thạch xương bồ, Ngưu tất, Chử thực tử, Nhân sâm, Phục linh, Sơn dược, Đại táo, Viễn trí, Ngũ vị tử"
Alzheimer,Chứng Đàm trọc mông khiếu,"Ngu si đờ đẫn, trí lực giảm sút, cười nói bất thường, tự nói một mình hoặc không nói gì, không muốn ăn uống, bụng sườn đau chướng mãn, miệng hay chảy nước bọt, đầu nặng như búa bổ, chất lưỡi đạm, rêu trắng dính, mạch hoạt",Thông khiếu hoá đàm thang,"Thạch xương bồ, Uất kim, Đởm nam tinh, Bán hạ, Bạch truật, Phục linh, Thăng ma, Toan táo nhân, Ích trí nhân, Đan sâm, Trần bì, Cam thảo"
Alzheimer,Chứng huyết ứ nội trở,"Tinh thần chậm chạp, lời nói diễn đạt bất lợi, hay quên, dễ kinh sợ, tư duy thất thường, hành vi cổ quái, miệng khô nhưng không muốn uống nước, hai mắt tối đen, chất lưỡi tối có điểm ứ huyết, mạch tế nhược",Thông khiếu hoạt huyết thang gia giảm,"Xích thược, Xuyên khung, Đào nhân, Táo đỏ, Hồng hoa, Xạ hương, Sinh khương, Đan sâm, Cát căn, Sơn dược, Câu kỳ tử, Sinh sơn tra"
Anh lựu (Khí anh),Khí trệ đờm ngưng,"Tuyến giáp sưng, bờ không rõ, sắc da bình thường, ấn mềm không đau; to nhỏ thay đổi theo trạng thái vui buồn; chất lưỡi hồng nhạt, rêu trắng mỏng hoặc trắng vàng",Tứ Hải Sơ Uất Hoàn,"Thanh mộc hương, Trần bì, Hải cáp phấn, Hải đới, Hải tảo, Côn bố, Hải phiêu tiêu"
Anh lựu (Khí anh),Thận dương hư tổn,"Tuyến giáp sưng kèm váng đầu, lưng gối đau mỏi, mệt mỏi, ra mồ hôi trộm hoặc tự hãn; lưỡi sắc nhợt ít rêu; mạch hư tế nhược",Tứ Hải Sơ Uất Hoàn gia thêm vị bổ thận,"Thanh mộc hương, Trần bì, Hải cáp phấn, Hải đới, Hải tảo, Côn bố, Hải phiêu tiêu, Thỏ ti tử, Nhục thung dung, Bổ cốt chi, Hà thủ ô"
Anh lựu (Nhục anh),Khí trệ đờm ngưng,"Khối u bề mặt trơn, cứng vừa, ấn không đau; kèm ngực đầy tức, họng hơi nghẹn; rêu lưỡi mỏng hơi nhầy; mạch Huyền Tế",Hải Tảo Ngọc Hồ Thang hợp Tiêu Dao Tán gia giảm,"Hải tảo, Côn bố, Hải đới, Hạnh nhân, Liên kiều, Độc hoạt, Đương quy, Xuyên khung, Bạch thược, Sài hồ, Bạch truật, Phục linh, Cam thảo"
Anh lựu (Nhục anh),Vị nhiệt tỳ nhược,"Khối u kèm ăn nhiều mau đói, người gầy, tiêu lỏng; lưỡi rêu mỏng nhầy; mạch Nhu",Hải Tảo Ngọc Hồ Thang hợp Ngọc Nữ Tiễn gia giảm,"Hải tảo, Côn bố, Hải đới, Hạnh nhân, Liên kiều, Độc hoạt, Đương quy, Xuyên khung, Bạch thược, Sinh thạch cao, Thục địa, Mạch môn, Tri mẫu, Ngưu tất"
Anh lựu (Nhục anh),Can thận âm hư,"Khối u kèm váng đầu, hồi hộp, bứt rứt, ra mồ hôi, tay run; kinh nguyệt ít hoặc bế kinh; lưỡi đỏ; mạch Sác",Tri Bá Địa Hoàng Hoàn gia giảm (hoặc Bài thuốc kinh nghiệm trị bướu),"Thục địa, Hoài sơn, Sơn thù, Đan bì, Bạch linh, Trạch tả, Tri mẫu, Hoàng bá, Đương quy, Đan sâm, Hoàng dược tử, Hạ khô thảo, Sinh mẫu lệ, Côn bố, Hải phù thạch"
Anh lựu (Nhục anh),Đờm ứ ngưng kết,"Khối u cứng hoặc đau; chất lưỡi đỏ tía, xám, hoặc có ban ứ huyết; mạch Tế Sáp",Hải Tảo Ngọc Hồ Thang hợp Tiểu Kim Đơn,"Hải tảo, Côn bố, Hải đới, Hạnh nhân, Liên kiều, Độc hoạt, Đương quy, Xuyên khung, Bạch thược, Bạch giao hương, Thảo ô đầu, Ngũ linh chi, Địa long, Chế mã tiền tử, Nhũ hương, Một dược, Xạ hương, Mực tàu"
Áp xe gan,Can uất hoá hoả / Thấp nhiệt nung nấu,"Nóng lạnh thất thường, hạ sườn bên phải đau, ấn vào đau hơn, không muốn nằm nghiêng, miệng khô, tiểu vàng, lưỡi hồng, rêu lưỡi vàng trắng, mạch Huyền Hoạt",Sài hồ thanh can tán,"Cam thảo, Sài hồ, Chi tử, Sinh địa, Hoàng liên, Thanh bì, Liên kiều, Xích thược, Long đởm thảo"
Áp xe gan,Hoả độc thịnh (giai đoạn thành mủ),"Lạnh run, sốt cao, ra mồ hôi, hông sườn đầy đau, đau lan đến bụng dưới hoặc nách vai, miệng khát, tâm phiền, muốn nôn hoặc nôn, lưỡi hồng, rêu lưỡi vàng, mạch huyền Sác",Hoàng Liên Giải Độc Thang,"Chi tử, Hoàng cầm, Hoàng liên, Hoàng bá, Sài hồ, Bại tương thảo, Ngư tinh thảo, Đông qua nhân, Ý dĩ nhân, Đào nhân"
Áp xe gan,Tà độc làm hao tổn khí huyết,"Hạ sườn phải hơi đau, miệng hơi khô, mỏi mệt không có sức, lưỡi hồng, rêu lưỡi ít, mạch Tế Nhược",Thánh Dũ Thang gia giảm,"Bạch thược, Nhân sâm, Đương qui, Hoàng kỳ, Xuyên khung, Thục địa, Bại tương thảo, Bồ công anh"
Áp xe phổi,Giai đoạn mới phát (Phong nhiệt phạm phế),"Ho đàm dính, vùng ngực đau tức; sợ lạnh, sốt; ho nhiều, khó thở; miệng khô; rêu lưỡi vàng mỏng; mạch Phù Hoạt Sác hoặc Sác Thực",Ngân Kiều Tán gia giảm,"Bạc hà, Cát cánh, Cam thảo, Đậu xị, Kim ngân hoa, Kinh giới huệ, Liên kiều, Lô căn, Ngưu bàng tử, Trúc diệp. (Gia: Cúc hoa, Mạn kinh tử nếu đau đầu; Bối mẫu, Hạnh nhân, Qua lâu nếu ho đàm nhiều; Sa sâm, Thiên môn, Thiên hoa phấn nếu tổn thương tân dịch; Uất kim, Đào nhân nếu đau ngực nhiều)"
Áp xe phổi,Giai đoạn mới phát (Thể khác),(Sách 'Nhật Bản Hán Y Danh Phương Tuyển'),Phế Ung Thang,"Bạch giới tử, Bối mẫu, Cát cánh, Cam thảo, Hạnh nhân, Hoàng cầm, Qua lâu căn"
Áp xe phổi,Giai đoạn nung mủ,"Sốt cao, ra mồ hôi, không sợ lạnh; ho, thở gấp, ngực đầy tức; nôn ra đờm dãi tanh hôi hoặc mủ máu; miệng khô, họng khô; rêu lưỡi vàng dày; mạch Hoạt Sác",Thiên Kim Vi Hành Thang gia giảm,"Đào nhân, Đông qua nhân, Vĩ kinh, Ý dĩ nhân, Áp chích thảo, Kim ngân hoa, Liên kiều, Ngư tinh thảo. (Gia: Chi tử, Hoàng cầm, Thạch cao, Tri mẫu nếu nhiệt nhiều; Đình lịch tử, Tang bạch bì nếu suyễn)"
Áp xe phổi,Giai đoạn nung mủ (Phương khác),(Sách 'Thiên Gia Diệu Phương'),Phức Phương Ngư Cát Thang,"Bối mẫu, Cam thảo, Cát cánh, Đào nhân, Đông qua nhân, Hoàng cầm, Kim ngân hoa, Ngư tinh thảo, Ý dĩ nhân"
Áp xe phổi,Giai đoạn vỡ mủ,"Sốt, khát thích uống; ho ói ra mủ máu hoặc như nước cơm, mùi tanh hôi; ngực đầy tức đau, thở khó không nằm được; chất lưỡi đỏ, rêu vàng nhớt; mạch Hoạt Sác",Cát Cánh Thang hợp Thiên Kim Vi Hành Thang,"Bại tương thảo, Cam thảo, Cát cánh, Đông qua nhân, Hoàng cầm, Kim ngân hoa, Liên kiều, Ngư tinh thảo, Qua lâu, Vi căn, Ý dĩ nhân"
Áp xe phổi,Giai đoạn vỡ mủ (Phương khác),(Sách 'Tế Sinh Phương'),Cát Cánh Thang Gia Vị,"Bách hợp, Bối mẫu, Cam thảo, Cát cánh, Chỉ xác, Đương qui, Hạnh nhân, Hoàng kỳ, Phòng phong, Qua lâu nhân, Tang bạch bì, Ý dĩ nhân"
Áp xe phổi,Bài thuốc chuyên trị,Ho ra đờm mủ (Phế ung),Hóa Nùng Tán,"Bối mẫu, Cát cánh, Cam thảo"
Áp xe phổi,Kinh nghiệm dân gian,"Thời kỳ mưng mủ và vỡ mủ (khạc nhiều máu mủ, thân thể hư nhược)",Sinh Hoàng Đậu Tương,Hoàng đậu (Đậu nành)
Ẩm chứng,Ẩm tà hại phế (Chi ẩm),"Ho suyễn, ngực đầy, thậm chí không nằm được; đờm nhiều loãng lẫn bọt dãi; gặp lạnh bệnh tăng; có thể kèm sốt sợ lạnh, đau mình; mặt phù thũng nhẹ; lưỡi nhạt, rêu trắng nhớt; mạch Huyền khẩn",Tiểu Thanh Long Thang gia giảm,"Ma hoàng, Quế chi, Bán hạ, Tế tân, Bạch thược, Can khương, Trích thảo, Ngũ vị"
Ẩm chứng,Huyền ẩm (Tràn dịch màng phổi),"Ngực sườn chướng đau; khi ho, xoay mình, hít thở đau tăng; hơi thở ngắn; rêu lưỡi trắng; mạch Huyền",Thập Táo Thang (khi chính khí chưa suy); Đình Lịch Đại Táo Tả Phế Thang hợp Tam Tử Thang (khi chính hư tà thực),"Thập Táo Thang: Cam toại, Nguyên hoa, Đại kích, Táo; Đình Lịch Đại Táo Tả Phế Thang hợp Tam Tử Thang: Đình lịch tử, Đại táo, (Tam tử: Tô tử, Bạch giới tử, Lai phục tử)"
Ẩm chứng,Ẩm ứ đọng ở trường vị (Đàm ẩm),"Hình thể gầy ốm, ăn uống kém; dạ dày có tiếng nước óc ách hoặc sôi; tiêu lỏng; sợ lạnh vùng lưng; chóng mặt, hoa mắt, hồi hộp, ngắn hơi; rêu lưỡi trắng; mạch Huyền Hoạt",Linh Quế Truật Cam Thang (cơ bản); Kỷ Tiêu Lịch Hoàng Hoàn (khi ẩm lâu hóa nhiệt),"Linh Quế Truật Cam Thang: Bạch linh, Quế chi, Bạch truật, Cam thảo; Kỷ Tiêu Lịch Hoàng Hoàn: Phòng kỉ, Đình lịch tử, Tiêu mục, Đại hoàng"
Ẩm chứng,Ẩm tà ứ đọng ở bàng quang,"Bụng dưới chướng đầy; tiểu tiện không thông; chóng mặt, hoa mắt; rêu lưỡi trắng; mạch Huyền Hoạt; nặng hơn có thể suyễn, hơi thở ngắn, ớn lạnh, chân tay lạnh, lưỡi bệu nhuận, mạch Trầm tế","Ngũ Linh Tán (cơ bản); Ngũ Linh Tán gia Phụ tử, Nhục quế (nếu Thận dương hư); Tế sinh thận khí hoàn (bệnh nhẹ giai đoạn sau)","Ngũ Linh Tán: Trư linh, Trạch tả, Bạch linh, Quế chi, Bạch truật; Tế sinh thận khí hoàn: Thục địa, Hoài sơn, Đan bì, Bạch linh, Trạch tả, Sơn thù, Nhục quế, Phụ tử, Ngưu tất, Sa tiền"
Âm đạo đau,Can thận suy tổn,"Bộ phận sinh dục sưng đau hoặc đau rát; ít hoặc không có huyết trắng; lưng đau, chân mỏi; đầu váng, tai ù; mắt khô dính; uể oải không sức; lưỡi nhạt, rêu nhạt; mạch Trầm Tế",Đương Quy Địa Hoàng Ẩm gia giảm,"Qui đầu, Sinh địa, Mẫu lệ, Bạch thược, Huyền hồ"
Âm đạo đau,Can uất khí trệ,"Bộ phận sinh dục sưng đau lan đến bụng dưới, hông sườn và hai vú; phiền táo dễ tức giận; ngực đầy tức; lưỡi đỏ, rêu nhạt; mạch Huyền",Tiêu Dao Tán gia giảm,"Sài hồ, Bạch truật, Bạch thược, Qui đầu, Trần bì, Trích thảo, Sinh khương, Bạc hà, Bạch linh, Xuyên luyện tử, Hương phụ, Huyền hồ. (Nếu Can uất hoá hoả thêm: Đơn bì, Chi tử, Hạ khô thảo)"
Âm đạo đau,Can kinh thấp nhiệt,"Bộ phận sinh dục sưng đau; nhiều huyết trắng vàng như mủ, dính hôi; đầu váng, hoa mắt; miệng đắng, họng khô; khát thích uống nước; táo bón, nước tiểu vàng; rêu vàng bệu; mạch Huyền Hoạt Sác","Long Đởm Tả Can Thang gia Hoàng bá, Uất kim","Hoàng cầm, Chi tử, Qui đầu, Sài hồ, Mộc thông, Cam thảo, Sinh địa, Long đởm thảo, Sa tiền, Trạch tả, Hoàng bá, Uất kim"
Âm đạo đau,Hàn trệ can mạch,"Bộ phận sinh dục co thắt đau chịu không được; sợ lạnh, tay chân lạnh; các khớp đau nhức; lưỡi tối, rêu trắng; mạch Trầm khẩn",Xuyên Luyện Thang gia giảm,"Binh lang, Trạch tả, Xuyên luyện tử, Tiểu hồi, Trư linh, Bạch truật, Ô dược, Nhũ hương, Huyền hồ, Mộc hương, Ma hoàng, Sinh khương, Thông bạch"
Âm đạo viêm,Thấp nhiệt,"Khí hư ra nhiều, dính huyết, mùi hôi tanh; nặng đầu, hoa mắt, hay mệt nhọc; khát mà không muốn uống; ít ngủ; táo hoặc ỉa chảy; nước tiểu ít đỏ, có thể đi tiểu luôn; rêu lưỡi vàng nhờn; mạch nhu sác",Long đởm tả can thang gia giảm,"Long đởm thảo, Sài hồ, Chi tử, Sa tiền, Bạch thược, Sinh địa, Mộc thông, Hoàng bá, Tỳ giải, Phục linh, Ý dĩ"
Âm đạo viêm,Huyết ứ,"Âm đạo sưng đỏ, đau hoặc ứ máu tại chỗ; có dấu hiệu ngoại thương; lưỡi bình thường hoặc có vết ứ máu; mạch bình thường",Huyết Phủ Trục Ứ Thang,"Qui xuyên, Xích thược, Ngưu tất, Đào nhân, Xuyên khung, Cát cánh, Cam thảo, Hồng hoa, Sinh địa, Tam thất, Chỉ sác"
Âm đạo viêm,Can uất,"Khí hư màu hồng nhạt hoặc trắng dính, ra không ngừng; kinh nguyệt không đều; tinh thần uất ức; mạng sườn đầy trướng; miệng đắng, họng khô; tiểu tiện vàng; da vàng; mạch huyền",Long đởm tả can thang hợp Đan chi Tiêu dao tán,"Long đởm thảo, Sài hồ, Chi tử, Sa tiền, Bạch thược, Sinh địa, Mộc thông, Hoàng bá, Tỳ giải, Phục linh, Ý dĩ, Đương quy, Bạch truật, Cam thảo, Mẫu đơn bì"
Âm hãn,Can thận dương hư,"Bộ phận sinh dục ra mồ hôi, âm nang ướt lạnh; sợ lạnh, tay chân lạnh; lưng đau, chân mỏi; tiểu nhiều; dương vật không cương cứng, di tinh, tảo tinh; lưỡi nhạt, có vết răng; mạch Trầm Trì",An Thận Hoàn / Noãn can thang gia giảm,"Ba kích, Bạch tật lê, Bạch truật, Đào nhân, Hoài sơn, Nhục quế, Phá cố chỉ, Phục linh, Xuyên ô, Nhục thung dung, Tỳ giải"
Âm hãn,Can kinh thấp nhiệt,"Vùng sinh dục ra mồ hôi, da dịch hoàn ẩm hâm hấp nóng, mùi tanh hôi; hông sườn trướng đau; miệng đắng; da thịt đỏ; dương vật mềm yếu; rêu lưỡi vàng bệu; mạch Huyền Sác",Thanh Nang Thang / Long đởm tả can thang gia giảm,"Sài hồ, Hoàng cầm, Khương hoạt, Phòng phong, Xương truật, Ma hoàng căn, Trạch tả, Trư linh, Đương qui, Hồng hoa, Mộc thông, Hoạt thạch, Cam thảo"
Âm hành đờm hạch,Đờm Trọc Ngưng Kết,"Trên mặt âm hành có nốt hạch, không cử động thì không thấy dấu hiệu bệnh rõ; lưỡi nhạt, rìa lưỡi có vết răng, rêu lưỡi trắng nhạt; mạch Nhu",Nội tiêu loa lịch hoàn,"Sài hồ, Bạch thược, Hương phụ, Hạ khô thảo, Trần bì, Cương tàm, Hải tảo, Mẫu lệ, Một dược"
Âm hành đờm hạch,Âm Hư Đờm Hoả,"Âm hành kết hạch hơi đau, da hơi ửng đỏ hoặc hơi nóng, về chiều đỏ; ngũ tâm phiền nhiệt, họng khô, tai ù, lưng đau gối mỏi",Lục Vị Địa Hoàng Hoàn gia giảm,"Thục địa, Hoài sơn, Sơn thù, Đan bì, Bạch linh, Trạch tả, Mẫu lệ, Hạ khô thảo, Địa cốt bì, Miết giáp, Sạ can, Ngân sài hồ"
Âm hộ viêm loét,Thấp nhiệt,"Vùng âm đạo lở loét, sưng nóng đỏ đau; chảy nước mủ dính, mùi hôi; đầu váng, hoa mắt; miệng đắng, họng khô; cơ thể nóng, tâm phiền; táo bón; lưỡi đỏ, rêu vàng; mạch Hoạt Sác",Long Đởm Tả Can Thang gia giảm,"Sài hồ, Mộc thông, Cam thảo, Sinh địa, Long đởm thảo, Sa tiền, Trạch tả, Qui xuyên, Hoàng cầm, Chi tử, Bồ công anh, Thổ phục linh"
Âm hộ viêm loét,Thấp nhiệt độc thịnh,"Sốt không giảm, khát thích uống nước lạnh; mủ ra hôi thối; kèm triệu chứng thấp nhiệt",Tiên Phương Hoạt Mệnh Ẩm,"Bạch chỉ, Bối mẫu, Phòng phong, Xích thược, Quy vĩ, Thiên hoa phấn, Xuyên sơn giáp, Nhũ hương, Tạo giác thích, Một dược, Kim ngân hoa, Trần bì, Cam thảo tiết"
Âm hộ viêm loét,Hàn thấp,"Âm đạo sưng cứng, lở loét, màu da không thay đổi hoặc đau; mụn vỡ chảy mủ không dứt; tinh thần mỏi mệt, ăn ít; lưỡi trắng, rêu trắng bệu; mạch Tế Nhược",Dương Hoà Thang gia giảm,"Thục địa, Lộc giác giao, Tro Gừng, Nhục quế, Ma hoàng, Cam thảo, Bạch giới tử, Nga truật, Thương truật, Phục linh, Tạo giác thích"
Âm hộ viêm loét,Chính khí suy yếu,"Nhọt lở loét không thu miệng; hoảng sợ, hơi thở ngắn",Thác Lý Tiêu Độc Tán gia giảm,"Nhân sâm, Bạch truật, Hoàng kỳ, Cam thảo, Phục linh, Đương quy, Bạch thược, Xuyên khung, Ngân hoa, Bạch chỉ, Tạo giác thích, Cát cánh"
Âm lãnh,Dương hư,"Dương vật lạnh, sợ lạnh thích nóng; suy giảm tình dục, tinh lạnh; lưng đau chân yếu; tinh thần mỏi mệt; liệt dương, xuất tinh sớm; nước tiểu trong, đêm tiểu nhiều; lưỡi nhạt, rêu trắng; mạch Trầm Tế Nhược",Hữu Quy Hoàn gia vị,"Qui đầu, Lộc giác, Thỏ ti tử, Nhục quế, Thục địa, Kỉ tử, Đỗ trọng, Phụ tử, Hoài sơn, Sơn thù, Dâm dương hoắc, Ba kích, Ngải diệp, Đương quy, Cam thảo"
Âm lãnh,Hàn trệ can mạch,"Vùng tiền âm lạnh, hoặc âm hành dịch hoàn lạnh đau; bụng dưới đau rút; chân tay lạnh; lưỡi nhạt, rêu trắng nhuận; mạch Trì Huyền hoặc Hoãn",Noãn Can Tiễn hợp Tiêu Quế Thang gia giảm,"Nhục quế, Tiểu hồi, Thanh bì, Trầm hương, Ô dược, Trần bì, Qui xuyên, Quế chi, Xuyên tiêu, Ma hoàng, Ngô thù du, Sài hồ"
Âm lãnh,Can kinh thấp nhiệt ngăn trở dương khí,"Vùng tiền âm lạnh, ra mồ hôi; âm nang ẩm ướt, ngứa, mùi hôi; hông sườn đau đầy trướng; phiền táo dễ tức giận; miệng đắng họng khô; táo bón, nước tiểu vàng đỏ; lưỡi đỏ sậm, rêu vàng bệu; mạch Huyền Sác",Thanh Hồn Thang gia vị,"Sài hồ, Hoàng bá, Trạch tả, Đương quy vĩ, Ma hoàng căn, Phòng kỷ, Long đởm thảo, Phục linh, Hồng hoa, Ngũ vị tử"
Âm nang huyết thũng,Xuất huyết ứ huyết,"Bìu dái sưng to, xệ xuống; da bìu màu đỏ tím tối hoặc có mảng đen như vết ứ huyết; nhẹ thì sưng co lại đau xệ, nặng thì cứng thành khối u đau chói",Thập Khôi Tán hợp Hoa Nhuỵ Thạch Tán,"Đại kế, Tiểu kế, Hà diệp thán, Bá diệp thán, Mao căn thán, Tây thảo căn, Đại hoàng thán, Chi tử, Tông lư bì, Mẫu đơn bì, Hoa nhuỵ thạch. (Nếu phát sốt thêm: Bồ công anh, Kim ngân hoa, Hoàng bá, Ngư tinh thảo, Bạch hoa xà thiệt thảo; Nếu chảy máu không cầm: bỏ Đại kế, Tiểu kế, Trắc bá diệp, Tông lư bì, thêm Đương quy, Xích thược, Xuyên khung, Hồng hoa)"
